Instancia,GRASP Estándar Costo,GRASP Mejorado Costo,GRASP Estándar Tiempo (s),GRASP Mejorado Tiempo (s),GRASP Estándar Solucion Valida,GRASP Mejorado Solucion Valida
cgl_66.catsp,inf,8554.0,0.2698981761932373,0.341404914855957,False,True
cgl_38.catsp,2630.0,4495.0,0.3305883407592773,0.0961990356445312,True,True
cgl_60.catsp,inf,inf,0.1334857940673828,0.0118029117584228,False,False
cgl_51b.catsp,inf,5911.0,0.1981041431427002,0.3488562107086181,False,True
cgl_44.catsp,inf,inf,0.0700657367706298,0.0059998035430908,False,False
cgl_81.catsp,inf,inf,0.5143270492553711,0.0240969657897949,False,False
cgl_58.catsp,2619.0,2905.0,0.6280779838562012,1.4422471523284912,True,True
cgl_43.catsp,4699.0,5868.0,0.3765020370483398,0.0528509616851806,True,True
cgl_47.catsp,5267.0,inf,0.5111780166625977,0.0135519504547119,True,False
cgl_26.catsp,6844.0,inf,0.0322420597076416,0.0033483505249023,True,False
cgl_114.catsp,inf,inf,1.5110058784484863,0.0647251605987548,False,False
cgl_45.catsp,inf,inf,0.0684390068054199,0.0051560401916503,False,False
cgl_78.catsp,inf,inf,0.268068790435791,0.0164148807525634,False,False
cgl_28.catsp,2571.0,2295.0,0.1000609397888183,0.0761878490447998,True,True
cgl_50.catsp,inf,inf,0.0893721580505371,0.0046257972717285,False,False
cgl_17.catsp,4355.0,2645.0,0.0125260353088378,0.001957893371582,True,True
cgl_33.catsp,inf,8376.0,0.0457241535186767,0.0258669853210449,False,True
cgl_76.catsp,inf,inf,0.319188117980957,0.0152180194854736,False,False
cgl_107.catsp,inf,inf,1.1876318454742432,0.0470490455627441,False,False
cgl_37.catsp,5403.0,5839.0,0.1118218898773193,0.0162789821624755,True,True
cgl_72.catsp,inf,inf,0.2225000858306884,0.0166890621185302,False,False
cgl_70.catsp,inf,inf,0.2497758865356445,0.0155439376831054,False,False
cgl_32.catsp,5111.0,3243.0,0.0627229213714599,0.1535248756408691,True,True
cgl_48.catsp,inf,inf,0.0953059196472168,0.0088100433349609,False,False
cgl_70b.catsp,inf,inf,0.4957177639007568,0.0260789394378662,False,False
cgl_88.catsp,inf,inf,0.4225289821624756,0.0265548229217529,False,False
cgl_51.catsp,inf,inf,0.132469892501831,0.0085480213165283,False,False
cgl_48b.catsp,inf,6370.0,0.1302151679992675,0.0891320705413818,False,True
cgl_73.catsp,inf,inf,0.3179299831390381,0.0209689140319824,False,False
cgl_57.catsp,inf,9116.0,0.1312589645385742,0.0421438217163085,False,True
